,Solar 1,Solar 2,Solar 3,Solar 4,Solar 5,Solar 6,Albedo 1,Albedo 2,Albedo 3,Albedo 4,Albedo 5,Albedo 6,IR Terra 1,IR Terra 2,IR Terra 3,IR Terra 4,IR Terra 5,IR Terra 6,Total 1,Total 2,Total 3,Total 4,Total 5,Total 6
682,627.5767631018983,0.0,0.0,1214.4284278682478,0,0,0.0,38.888395369080655,141.5841791682146,46.34134897835357,42.53520449663688,42.58546963381889,0.0,61.48961095655588,223.87028346195896,73.27408325380624,67.25587804878305,67.33535635331748,627.5767631018983,100.37800632563653,365.45446263017357,1334.0438601004078,109.79108254541993,109.92082598713637
683,614.423499736777,0.0,0.0,1221.1358495152008,0,0,0.0,37.941276260611815,138.16099332373082,45.225770659187745,41.50645037699313,41.55381177375923,0.0,61.476749514764464,223.8640767098192,73.27991170696153,67.2534480797737,67.33018837458245,614.423499736777,99.41802577537628,362.02507003355004,1339.64153188135,108.75989845676683,108.88400014834167
684,601.1985588494983,0.0,0.0,1227.7008156864954,0,0,0.0,36.99008507271371,134.72170624490406,44.104638418426305,40.472864570998894,40.51739030372162,0.0,61.46388438251765,223.85780838770052,73.28564914500815,67.25097992424463,67.32496527687998,601.1985588494983,98.45396945523136,358.57951463260457,1345.0911032499298,107.72384449524353,107.8423555806016
685,587.903483237488,0.0,0.0,1234.122560525181,0,0,0.0,36.0349371173218,131.26673111938064,42.978089065245456,39.43457217311388,39.476332000108464,0.0,61.45101569931288,223.85147859567184,73.29129553566858,67.24847349715071,67.31968726882707,587.903483237488,97.4859528166347,355.11820971505244,1350.391945126095,106.68304567026459,106.79601926893554
686,574.5398238799598,0.0,0.0,1240.4003348822448,0,0,0.0,35.07594810182192,127.79648291307561,41.84626009069302,38.391698827291705,38.43076415982299,0.0,61.4381436121021,223.84508745259728,73.29685086824021,67.24592872633436,67.31435457482017,574.5398238799598,96.51409171392402,351.6415703656729,1355.543445841178,105.63762755362606,105.74511873464317
687,561.1091397569803,0.0,0.0,1246.5334064040087,0,0,0.0,34.11323411427109,124.31137831772809,40.70928964841047,37.34437071037457,37.380814582875985,0.0,61.42526827548473,223.8386350963805,73.30231515375212,67.24334555263633,67.30896743527279,561.1091397569803,95.53850238975582,348.15001341410857,1360.5450112061712,104.58771626301089,104.68978201814878
688,547.6129976676054,0.0,0.0,1252.5210596175616,0,0,0.0,33.14691160855865,120.81183569823939,39.56731653523908,36.2927145155754,36.32661155473148,0.0,61.412389851884406,223.83212168419277,73.30768842511407,67.24072393031543,67.30352610651998,547.6129976676054,94.55930146044307,344.6439573824322,1365.3960645779148,103.53343844589082,103.63013766125147
689,534.0529720471015,0.0,0.0,1258.3625960142244,0,0,0.0,32.177097389533735,117.29827503984518,38.42048017172548,35.23685743565587,35.26828382882498,0.0,61.3995085117338,223.82554739270188,73.31297073725709,67.23806382706957,67.2980308611224,534.0529720471015,93.57660590126753,341.12382243254706,1370.096046923207,102.47492126272545,102.56631468994738
690,520.4306447832608,0.0,0.0,1264.057334131043,0,0,0.0,31.20390859808464,113.77111789509655,37.268920582523876,34.1769271459945,34.20596060904209,0.0,61.386624433653246,223.81891241829467,73.31816216727006,67.23536522396661,67.29248198824979,520.4306447832608,92.59053303173789,337.59003031339125,1374.6444168808368,101.41229236996111,101.49844259729187
691,506.7476050318778,0.0,0.0,1269.60460963028,0,0,0.0,30.227462696169216,110.2307873306583,36.112778376695466,33.11305178795485,33.13977153174686,0.0,61.37373780460967,223.81221697727506,73.32326281451903,67.23262811608585,67.28687979331659,506.7476050318778,91.60120050077889,334.04300430793336,1379.0406508214944,100.34567990404071,100.42665132506345
692,493.0054490313593,0.0,0.0,1275.0037753769154,0,0,0.0,29.247877451818383,106.67770787396178,34.952194727922496,32.045359951799625,32.069846648154616,0.0,61.36084882008736,223.80546130606987,73.32827280076586,67.22985251243963,67.28122459834972,493.0054490313593,90.60872627190574,330.48316918003167,1383.2842429056038,99.27521246423926,99.35107124650435
693,479.20577991649157,0.0,0.0,1280.2542015141473,0,0,0.0,28.265270924100502,103.112305459696,33.787311354630674,30.97398065955267,30.99631640662782,0.0,61.34795768424951,223.79864566142123,73.33319227027393,67.22703843587767,67.27551674235109,479.20577991649157,89.61322860835001,326.91095112111725,1387.374705139052,98.20101909543034,98.27183314897891
694,465.3502075314496,0.0,0.0,1285.3552755368598,0,0,0.0,27.2797614480432,99.53500737613527,32.61827050002586,29.899043348142687,29.919311634563577,0.0,61.335064610081666,223.79177032056228,73.33802138990899,67.22418592371923,67.26975658090876,465.3502075314496,88.61482605812486,323.32677769669755,1391.3115674267947,97.12322927186192,97.18906821547233
695,451.4403482419777,0.0,0.0,1290.3064023630827,0,0,0.0,26.291467619539716,95.94624221135632,31.44521491205703,28.82067785213245,28.838963520608736,0.0,61.322169819547575,223.78483558139388,73.34276034922577,67.22129502764824,67.26394448654467,451.4403482419777,87.61363743908728,319.73107779275017,1395.0943776243655,96.04197287978069,96.10290800715342
696,437.47782474682725,0.0,0.0,1295.107004403414,0,0,0.0,25.300508280221372,92.34643979931396,30.268287823303808,27.739014386442154,27.755403596773363,0.0,61.309273543732736,223.77784176264973,73.34740936054945,67.21836581367842,67.25808084897466,437.47782474682725,86.60978182395411,316.1242815619637,1398.7227015872672,94.95738020012057,95.01348444574802
697,423.4642658884623,0.0,0.0,1299.7565216283956,0,0,0.0,24.307002502295934,88.73603116577385,29.087632930790253,26.654183529191645,26.668763720318797,0.0,61.29637602297284,223.7707892040472,73.3519686590527,67.21539836252283,67.25216607494366,423.4642658884623,85.60337852526877,312.50682036982107,1402.1961232182387,93.86958189171447,93.92092979526245
698,409.4013064630402,0.0,0.0,1304.2544116338483,0,0,0.0,23.311069573382955,85.11544847417761,27.90339437574311,25.566316204356333,25.57917605577575,0.0,61.283477506993535,223.76367826643443,73.35643850281133,67.21239276962869,67.24620058838724,409.4013064630402,84.59454708037649,308.87912674061204,1405.514244512403,92.77870897398503,92.82537664416299
699,395.29058702969456,0.0,0.0,1308.6001497041484,0,0,0.0,22.31282898130923,81.4851249713529,26.715716723280806,24.47554366439864,24.486773056878896,0.0,61.27057825502702,223.7565093319236,73.36081917286602,67.20934914528597,67.24018483050071,395.29058702969456,83.58340723633626,305.2416343032765,1408.6766856002953,91.68489280968461,91.7269578873796
