,h,ecc,anomalia_verdadeira,raan,inc,arg_per,q0,q1,q2,q3,wx3,wy3,wz3,X_perifocal,Y_perifocal,Z_perifocal,distancia
835,52675.11234293793,0.0014454453957351771,8.864413418216467,0.0015634814152369516,1.6929872915599127,0.22711583766602295,-0.13009331766810203,-0.1470437466634308,-0.7343791995494878,-0.6497238316057866,0.0,0.0,0.0010800893752730386,-5903.650154674097,3704.28946597597,0,6969.56566771015
836,52675.578462914345,0.0014250484386846493,8.874805009143802,0.001563853800332491,1.6929862048929485,0.22756845351356056,-0.12658263861820643,-0.14307564584101584,-0.7351625886447515,-0.650416915730344,0.0,0.0,0.0010800893752730386,-5941.8729794292885,3642.772172468805,0,6969.622916929221
837,52676.03131985708,0.0014049290182043192,8.88569902691067,0.0015642027621942927,1.6929851491646932,0.2275185561133978,-0.1230682678151553,-0.13910337225073335,-0.7359245368946887,-0.6510910305973474,0.0,0.0,0.0010800893752730386,-5981.25163570135,3577.8548985876714,0,6969.678386046796
838,52676.47070192689,0.0013851116503095266,8.897110706513336,0.001564528983995469,1.6929841248673794,0.22695091334031386,-0.11955030775615645,-0.13512704174460205,-0.7366650220853801,-0.6517461565535816,0.0,0.0,0.0010800893752730386,-6021.7370038151885,3509.394316311753,0,6969.7320615988065
839,52676.89640352785,0.0013656216130714608,8.909054884982506,0.0015648331592714696,1.6929831324787015,0.225850691035259,-0.11602886104165512,-0.13114677029132907,-0.7373840226207554,-0.652382274492457,0.0,0.0,0.0010800893752730386,-6063.268426184492,3437.2465767815197,0,6969.7839304789095
840,52677.30822547976,0.00134648495476344,8.921545845327495,0.0015651159917360166,1.6929821724614145,0.22420360906083864,-0.11250403037378409,-0.1271626739745586,-0.7380815175313402,-0.6529993658617503,0.0,0.0,0.0010800893752730386,-6105.772663397447,3361.26849444464,0,6969.833980005384
841,52677.70597511015,0.0013277284847238652,8.934597144542511,0.001565378194954432,1.6929812452631265,0.22199611329496,-0.10897591855341639,-0.12317486898954035,-0.7387574864751865,-0.6535974126644263,0.0,0.0,0.0010800893752730386,-6149.162868690086,3281.3189219099127,0,6969.882197925652
842,52678.0894663422,0.0013093797552344733,8.94822142237309,0.001565620492011044,1.6929803513160964,0.2192155668643778,-0.10544462847697314,-0.11918347163952145,-0.739411909737184,-0.6541763974580286,0.0,0.0,0.0010800893752730386,-6193.337595847232,3197.260347314738,0,6969.928572420662
843,52678.45851978178,0.0012914670329405716,8.962430190554056,0.0015658436151755563,1.6929794910370328,0.21585046090674379,-0.10191026313371596,-0.11518859833268627,-0.7400447682315587,-0.6547363033568909,0.0,0.0,0.0010800893752730386,-6238.179870672368,3108.9607276166175,0,6969.973092109063
844,52678.81296279917,0.001274019258457572,8.97723360296096,0.0015660483055622264,1.6929786648269092,0.21189064441911934,-0.09837292560254622,-0.11119036557853831,-0.7406560435011476,-0.6552771140314947,0.0,0.0,0.0010800893752730386,-6283.556362567152,3016.295565531436,0,6970.015746051277
