,PHI,TETA,PSI,X_ECI,Y_ECI,Z_ECI,latitude,longitude,Data,Tempo,x,y,z,N1_X,N1_Y,N1_Z,N2_X,N2_Y,N2_Z,N3_X,N3_Y,N3_Z,N4_X,N4_Y,N4_Z,N5_X,N5_Y,N5_Z,N6_X,N6_Y,N6_Z,Terra_X,Terra_Y,Terra_Z,r,fim
30,0.3341821747905454,1.0995574286453502,0.0,6565.770361034811,1046.1511864200006,2053.0805539925022,16.611596891967416,7.501309040798601,2022-11-10 18:05:10,310.0,,,,0.9446788694891166,0.14890738462254777,0.29224719732725774,-0.32799669745405136,0.4288752321462497,0.8417150359300563,-0.9446788694891166,-0.14890738462254777,-0.29224719732725774,0.32799669745405136,-0.4288752321462497,-0.8417150359300563,0.0,0.8910065241379398,-0.45399049983851747,0.0,-0.8910065241379398,0.45399049983851747,,,,6958.369959974342,1
31,0.34496224494507655,1.0995574286453513,0.0,6540.313305734864,1078.5453662964717,2116.6471321810573,17.160651929919116,7.770593257131044,2022-11-10 18:05:20,320.0,,,,0.9410882205699092,0.15352194799421645,0.30130378787632783,-0.3381611466513592,0.4272451116486731,0.838515744317154,-0.9410882205699092,-0.15352194799421645,-0.30130378787632783,0.3381611466513592,-0.4272451116486731,-0.838515744317154,0.0,0.8910065241379402,-0.4539904998385165,0.0,-0.8910065241379402,0.4539904998385165,,,,6958.387264769214,1
32,0.3557423150996097,1.099557428646765,0.0,6514.081919248663,1110.8118564798651,2179.9624373328334,17.70922560070476,8.041716475390993,2022-11-10 18:05:30,330.0,,,,0.9373882089299914,0.1581186707660709,0.3103253642778715,-0.34828629855195675,0.4255653415136777,0.8352190098072027,-0.9373882089299914,-0.1581186707660709,-0.3103253642778715,0.34828629855195675,-0.4255653415136777,-0.8352190098072027,0.0,0.8910065241385822,-0.4539904998372568,0.0,-0.8910065241385822,0.4539904998372568,,,,6958.405166369712,1
33,0.3665223852541406,1.0995574286467646,0.0,6487.079342402786,1142.9468428623209,2243.018964784869,18.257298589337985,8.31475102038708,2022-11-10 18:05:40,340.0,,,,0.93357926454323,0.16269701875939574,0.31931087814499287,-0.35837097652421807,0.42383611694768003,0.8318252155085171,-0.93357926454323,-0.16269701875939574,-0.31931087814499287,0.35837097652421807,-0.42383611694768003,-0.8318252155085171,0.0,0.891006524138582,-0.45399049983725726,0.0,-0.891006524138582,0.45399049983725726,,,,6958.423668951359,1
34,0.37730245540867385,1.0995574286481788,0.0,6459.308807970616,1174.9465274182226,2305.8092416027894,18.804851184502983,8.589770551125852,2022-11-10 18:05:50,350.0,,,,0.929661830042431,0.16725645992903496,0.3282592852824812,-0.3684140086399515,0.42205763889941106,0.8283347558110165,-0.929661830042431,-0.16725645992903496,-0.3282592852824812,0.3684140086399515,-0.42205763889941106,-0.8283347558110165,0.0,0.891006524139224,-0.45399049983599715,0.0,-0.891006524139224,0.45399049983599715,,,,6958.442776776981,1
35,0.3880825255632048,1.0995574286481795,0.0,6430.773640252104,1206.8071286632098,2368.325827486218,19.351863260224317,8.86685011790833,2022-11-10 18:06:00,360.0,,,,0.9256363606679078,0.17179646442877392,0.33716954580632563,-0.3784142278105712,0.42023011404599625,0.8247480363355938,-0.9256363606679078,-0.17179646442877392,-0.33716954580632563,0.3784142278105712,-0.42023011404599625,-0.8247480363355938,0.0,0.8910065241392242,-0.4539904998359966,0.0,-0.8910065241392242,0.4539904998359966,,,,6958.46249419309,1
36,0.39886259571773575,1.0995574286481808,0.0,6401.477254642141,1238.524882110585,2430.561315669241,19.89831425691002,9.14606622093103,2022-11-10 18:06:10,370.0,,,,0.9215033242145736,0.17631650466974544,0.3460406242661896,-0.38837047192273844,0.4183537547607056,0.8210654738911685,-0.9215033242145736,-0.17631650466974544,-0.3460406242661896,0.38837047192273844,-0.4183537547607056,-0.8210654738911685,0.0,0.8910065241392249,-0.4539904998359954,0.0,-0.8910065241392249,0.4539904998359954,,,,6958.482825626253,1
37,0.40964266587226655,1.0995574286481813,0.0,6371.423157187405,1270.096040725275,2492.508333815892,20.44418316173507,9.42749687044658,2022-11-10 18:06:20,380.0,,,,0.9172632009775816,0.18081605538355575,0.35487148976480415,-0.39828158397340013,0.416428779092977,0.8172874964238545,-0.9172632009775816,-0.18081605538355575,-0.35487148976480415,0.39828158397340013,-0.416428779092977,-0.8172874964238545,0.0,0.8910065241392251,-0.453990499835995,0.0,-0.8910065241392251,0.453990499835995,,,,6958.503775579317,1
38,0.42042273602679747,1.0995574286481822,0.0,6340.614944131913,1301.5168753751575,2554.15954491049,20.98944848833319,9.711221648538992,2022-11-10 18:06:30,390.0,,,,0.9129164836965108,0.18529459368287338,0.3636611160780008,-0.408146412204246,0.4144554107418972,0.813414542967832,-0.9129164836965108,-0.18529459368287338,-0.3636611160780008,0.408146412204246,-0.4144554107418972,-0.813414542967832,0.0,0.8910065241392254,-0.4539904998359942,0.0,-0.8910065241392254,0.4539904998359942,,,,6958.525348627582,1
39,0.4312028061813284,1.0995574286481817,0.0,6309.05630145134,1332.7836752797168,2615.5076481427213,21.534088255762263,9.997321772568577,2022-11-10 18:06:40,400.0,,,,0.9084636774981043,0.18975159912219494,0.3724084817739657,-0.41796381023555174,0.41243387903021017,0.809447063594324,-0.9084636774981043,-0.18975159912219494,-0.3724084817739657,0.41796381023555174,-0.41243387903021017,-0.809447063594324,0.0,0.8910065241392252,-0.4539904998359946,0.0,-0.8910065241392252,0.4539904998359946,,,,6958.547549414895,1
40,0.4419828763358593,1.0995574286481826,0.0,6276.751004376154,1363.8927484560074,2676.5453797873374,22.078079966707712,10.285880160340925,2022-11-10 18:06:50,410.0,,,,0.9039052998375698,0.19418655375832305,0.3811125703319412,-0.42773263719939925,0.4103644188776622,0.8053855193592977,-0.9039052998375698,-0.19418655375832305,-0.3811125703319412,0.42773263719939925,-0.4103644188776622,-0.8053855193592977,0.0,0.8910065241392257,-0.4539904998359938,0.0,-0.8910065241392257,0.4539904998359938,,,,6958.570382649649,1
