,PHI,TETA,PSI,X_ECI,Y_ECI,Z_ECI,latitude,longitude,Data,Tempo
323,3.4927427281808443,1.099557428072797,0.0,-6490.873476397183,-1150.499089304988,-2282.5345037395473,-18.55421487386563,176.85486387453622,2022-11-10 18:54:00,3240.0
324,3.503522798335394,1.0995574280727978,0.0,-6462.755997014607,-1182.3858669043889,-2344.995561125,-19.09870767049127,177.12938498226367,2022-11-10 18:54:10,3250.0
325,3.5143028684899438,1.0995574280727982,0.0,-6433.879274381476,-1214.133730350095,-2407.180367941728,-19.64266612156016,177.40599256656958,2022-11-10 18:54:20,3260.0
326,3.5250829386444935,1.0995574280727982,0.0,-6404.24671345069,-1245.738952309975,-2469.0816036795263,-20.186070027600163,177.68476308914828,2022-11-10 18:54:30,3270.0
327,3.5358630087990433,1.0995574280727987,0.0,-6373.8618080503675,-1277.19782237139,-2530.6919815480032,-20.7288987290267,177.9657745380449,2022-11-10 18:54:40,3280.0
328,3.546643078953593,1.0995574280727989,0.0,-6342.728140455911,-1308.5066474770817,-2592.0042493348055,-21.271131085710604,178.2491064895039,2022-11-10 18:54:50,3290.0
329,3.5574231491081454,1.099557428074212,0.0,-6310.84938095162,-1339.6617523586822,-2653.011190259126,-21.812745455813076,178.53484017150225,2022-11-10 18:55:00,3300.0
330,3.568203219262676,1.0995574280742129,0.0,-6278.229287382452,-1370.6594799679879,-2713.7056238207397,-22.353719673849866,178.82305852902,2022-11-10 18:55:10,3310.0
331,3.57898328941721,1.099557428075626,0.0,-6244.871704693054,-1401.4961919052585,-2774.080406643082,-22.894031027948444,179.11384629110293,2022-11-10 18:55:20,3320.0
332,3.5897633595717426,1.0995574280770404,0.0,-6210.780564460092,-1432.1682688457927,-2834.128433312977,-23.433656236258187,179.40729003977023,2022-11-10 18:55:30,3330.0
333,3.600543429726276,1.0995574280784544,0.0,-6175.959884412014,-1462.6721109634307,-2893.842637214186,-23.972571422474886,179.70347828081745,2022-11-10 18:55:40,3340.0
334,3.611323499880807,1.0995574280784548,0.0,-6140.4137679393025,-1493.004138351623,-2953.215991356148,-24.51075209043523,-179.99749848343293,2022-11-10 18:55:50,3350.0
335,3.6221035700353377,1.0995574280784541,0.0,-6104.146403594728,-1523.1607914417827,-3012.2415091972825,-25.0481730977397,-179.6955476793871,2022-11-10 18:56:00,3360.0
336,3.6328836401898688,1.0995574280784548,0.0,-6067.162064583602,-1553.1385314190293,-3070.912245463119,-25.584808628355788,-179.39057458539443,2022-11-10 18:56:10,3370.0
337,3.643663710344402,1.0995574280798697,0.0,-6029.465108244209,-1582.9338406351244,-3129.221296958842,-26.120632164157264,-179.08248225287875,2022-11-10 18:56:20,3380.0
